code,num
C1072,850.2022
C1128,942.2659
C1456,549.87134
C1840,468.06485
C1332,1080.6014
C1563,1292.6254
C1794,1223.541
C1640,577.3513
C1377,326.69693
C2072,323.64874
C1472,499.57758
C1006,175.99353
C1083,481.2382
C1311,257.2213
C2676,224.94733
C2318,301.82196
C1603,546.8564
C2523,308.34494
C2177,106.653336
C2411,902.36316
C2033,200.24768
C1604,538.4604
C2535,569.5842
C1040,349.90082
C2417,435.9121
C1812,89.582726
C2253,100.293526
C1294,630.82587
C1772,567.4061
C2646,547.09326
C1152,905.3846
C2423,110.53841
C1844,531.64996
C1318,263.2696
C1729,42.845974
C1602,366.3134
C1239,487.27353
C1721,698.9783
C1902,883.3146
C1855,468.8195
C2600,494.26007
C1071,545.79266
C2295,449.16968
C1621,577.4331
C1852,989.34485
C2555,1193.6588
C1297,372.39005
C2323,615.48895
C2215,394.88507
C2112,342.5811
C1830,889.8404
C2602,300.18967
C2608,869.88226
C1215,736.87256
C2369,658.4004
C1158,321.54007
C1887,733.64325
C1189,382.97772
C1637,500.63156
C1225,157.60945
C2374,358.40527
C2397,602.2204
C1105,970.987
C1782,539.6602
C1629,178.46553
C1708,257.86035
C2144,703.9072
C1617,842.9517
C1149,593.8821
C1323,640.18524
C1064,858.6795
C1019,295.96533
C2269,607.0988
C1416,1061.8035
C1250,1049.9921
C1741,488.96594
C1016,765.244
C2675,1104.3224
C2436,697.76184
C2039,994.8106
C1253,875.0017
C2028,940.02216
C1166,340.2196
C1135,237.4198
C1216,301.82254
C1593,256.51505
C1826,265.98795
C1827,502.86127
C1564,243.21371
C1495,958.19934
C2653,857.47046
C1392,767.6512
C2128,246.79285
C1282,790.71313
C1521,1377.8136
C2076,879.8333
C1060,667.3784
C2473,1223.0476
C2557,946.4693
C1835,802.0018
C2224,912.33704
C2222,505.58377
C2430,828.94147
C2497,785.91345
C1494,1274.4108
C1457,671.114
C1525,879.56085
C1712,879.7397
C2267,839.9035
C1623,311.5278
C2131,584.2497
C2691,1032.3381
C1147,941.73474
C1692,870.46405
C1570,793.64606
C1474,101.83248
C1633,128.56718
C2113,622.6737
C2175,926.58185
C2303,1459.27
C2547,630.1976
C2292,897.7018
C1496,803.71686
C1289,400.13947
C1849,849.05566
C1003,292.8928
C2268,536.2589
C2551,680.8652
C2688,93.78893
C1030,20.014694
C1327,81.61777
C2451,600.0954
C1749,548.36786
C1349,289.7502
C2043,304.3314
C1229,327.4557
C2363,497.96277
C1414,503.29156
C2174,625.5012
C2091,103.557884
C2335,420.8524
C1841,46.808903
C2404,131.1398
C1683,296.85483
C1038,340.04877
C2456,237.69237
C1266,536.3556
C2152,26.261917
C1267,484.59747
C2189,233.88882
