code,num
C1072,606.536
C1128,925.6320000000001
C1456,705.202
C1840,665.647
C1332,671.232
C1563,1847.005818181818
C1794,1122.005
C1640,525.47
C1377,411.0924
C2072,321.0
C1472,499.242
C1006,146.681
C1083,264.194
C1311,194.758
C2676,253.09859999999998
C2318,293.194
C1603,561.103
C2523,395.776
C2177,152.53666666666666
C2411,280.72740000000005
C2033,184.8823157894737
C1604,606.336
C2535,525.71
C1040,220.138
C2417,454.3
C1812,125.47540000000001
C2253,153.08985
C1294,404.326
C1772,550.513
C2646,526.41
C1152,581.993
C2423,127.166
C1844,747.842
C1318,509.69
C1729,93.48472727272726
C1602,237.696
C1239,510.584
C1721,646.858
C1902,776.015
C1855,261.466
C2600,500.00200000000007
C1071,608.19
C2295,476.91999999999996
C1621,589.506
C1852,614.0
C2555,1665.0
C1297,455.48400000000004
C2323,407.303
C2215,413.0
C2112,440.34
C1830,760.447
C2602,307.519
C2608,933.367
C1215,575.746
C2369,415.498
C1158,245.22
C1887,643.0
C1189,323.014
C1637,405.58
C1225,41.816
C2374,283.785
C2397,539.224
C1105,1111.197
C1782,404.48
C1629,100.32800000000002
C1708,314.278
C2144,610.992
C1617,347.347
C1149,525.711
C1323,395.283
C1064,670.482
C1019,383.0
C2269,407.238
C1416,826.662
C1250,466.222
C1741,459.314
C1016,805.717
C2675,196.0
C2436,627.342
C2039,1159.0
C1253,748.569
C2028,860.726
C1166,140.932
C1135,358.073
C1216,273.48
C1593,156.93125
C1826,211.792
C1827,476.91999999999996
C1564,314.174
C1495,461.929
C2653,935.58
C1392,351.24
C2128,363.977
C1282,571.19
C1521,1118.336
C2076,897.725
C1060,646.838
C2473,1078.229
C2557,757.865
C1835,934.0
C2224,938.26
C2222,449.685
C2430,570.846
C2497,680.446
C1494,914.513
C1457,533.296
C1525,857.12
C1712,406.211
C2267,1102.181
C1623,290.675
C2131,581.197
C2691,928.16
C1147,882.335
C1692,869.954
C1570,946.984
C1474,210.942
C1633,214.587
C2113,651.709375
C2175,635.966
C2303,1694.65
C2547,534.032
C2292,583.177
C1496,788.7999999999998
C1289,235.275
C1849,736.952
C1003,344.786
C2268,255.4
C2551,652.954
C2688,65.448
C1030,16.516
C1327,56.476
C2451,652.35
C1749,758.864
C1349,208.21
C2043,200.417
C1229,204.342
C2363,729.909
C1414,730.275
C2174,1019.0
C2091,127.9118
C2335,254.104
C1841,71.002
C2404,114.675
C1683,357.468
C1038,366.759
C2456,296.397
C1266,561.786
C2152,75.67
C1267,523.9664545454546
C2189,337.812
