code,num
C1072,723.574
C1128,987.31946
C1456,620.8087
C1840,601.10046
C1332,951.26385
C1563,1266.9777
C1794,1141.3275
C1640,465.81885
C1377,331.5334
C2072,297.99594
C1472,508.96445
C1006,181.8682
C1083,402.92044
C1311,256.53424
C2676,184.76024
C2318,215.53404
C1603,490.71454
C2523,362.34152
C2177,104.5255
C2411,578.94714
C2033,180.55803
C1604,514.1712
C2535,474.36682
C1040,507.1162
C2417,391.87112
C1812,121.732506
C2253,121.366135
C1294,498.9326
C1772,331.99203
C2646,556.10547
C1152,818.4416
C2423,74.43803
C1844,496.0571
C1318,274.20334
C1729,85.57195
C1602,259.37424
C1239,452.326
C1721,616.26044
C1902,772.6536
C1855,320.2147
C2600,447.99814
C1071,445.695
C2295,401.94058
C1621,593.20306
C1852,757.2592
C2555,1338.4244
C1297,480.67813
C2323,575.15405
C2215,371.9608
C2112,372.9639
C1830,770.5719
C2602,315.7903
C2608,1061.686
C1215,697.2019
C2369,641.8037
C1158,267.48465
C1887,488.9824
C1189,281.9591
C1637,382.79968
C1225,60.167217
C2374,399.26038
C2397,482.00745
C1105,1047.383
C1782,431.25772
C1629,78.64208
C1708,263.76715
C2144,621.022
C1617,965.42065
C1149,460.89374
C1323,356.96255
C1064,740.67377
C1019,302.59552
C2269,563.98944
C1416,800.34485
C1250,973.04596
C1741,446.90857
C1016,719.39575
C2675,1032.1198
C2436,735.149
C2039,921.87616
C1253,803.0162
C2028,785.5432
C1166,200.5608
C1135,300.15912
C1216,326.4375
C1593,150.97562
C1826,237.74309
C1827,401.90192
C1564,258.04654
C1495,849.3198
C2653,889.54834
C1392,468.90186
C2128,316.7475
C1282,637.71576
C1521,1090.4136
C2076,913.59235
C1060,636.2979
C2473,1200.6501
C2557,779.47687
C1835,922.69403
C2224,912.46265
C2222,387.81662
C2430,678.0184
C2497,618.41077
C1494,889.8299
C1457,655.0727
C1525,863.65533
C1712,483.4105
C2267,953.36163
C1623,292.01624
C2131,491.40414
C2691,931.13794
C1147,645.7318
C1692,928.0257
C1570,882.44684
C1474,82.886566
C1633,121.23362
C2113,558.2591
C2175,681.21484
C2303,1620.2633
C2547,531.7033
C2292,802.77844
C1496,675.5495
C1289,385.6715
C1849,697.424
C1003,319.02994
C2268,371.45712
C2551,653.17017
C2688,108.54885
C1030,37.205875
C1327,79.3471
C2451,584.84485
C1749,678.4396
C1349,255.4675
C2043,284.7186
C1229,258.60608
C2363,413.8755
C1414,355.2189
C2174,605.0162
C2091,146.97855
C2335,522.73303
C1841,84.84306
C2404,136.80225
C1683,307.27588
C1038,389.00815
C2456,247.99692
C1266,506.03012
C2152,36.432384
C1267,499.0466
C2189,252.52654
